name,symbol,category,keywords,set
Alarm Clock,bb-alarm-clock,Objects,Objects,bb10
Bar Chart,bb-bar-chart,Business,Business,bb10
Barrel,bb-barrel,Food,Food,bb10
Battery,bb-battery,Technology,Technology,bb10
BBM,bb-bbm,Social,Social,bb10
BB Logo,bb-bbry-logo,Business,Business,bb10
Binders,bb-binders,Office,Office,bb10
Bluetooth,bb-bluetooth,Technology,Technology,bb10
Bookmark,bb-bookmark,UI,UI,bb10
Bookmark Plus,bb-bookmark-plus,UI,UI,bb10
Box,bb-box-closed,Office,Office,bb10
Box,bb-box-open,Office,Office,bb10
Briefcase,bb-briefcase,Office,Office,bb10
Buggy,bb-buggy,Objects,Objects,bb10
Bullseye,bb-bullseye,UI,UI,bb10
Calculator,bb-calculator,Office,Office,bb10
Calendar,bb-calendar,Office,Office,bb10
Calendar Plus,bb-calendar-plus,Office,Office,bb10
Incoming Call,bb-call-incoming,Social,Social,bb10
Outgoing Call,bb-call-outgoing,Social,Social,bb10
Returned Call,bb-call-returned,Social,Social,bb10
Camera,bb-camera-still,Entertainment,Entertainment,bb10
Video Camera,bb-camera-video,Entertainment,Entertainment,bb10
Chat Bubble,bb-chat-bubble,Social,Social,bb10
Checkmark,bb-checked,UI,UI,bb10
Circle Arrow Down,bb-circle-arrow-down,UI,UI,bb10
Circle Arrow Left,bb-circle-arrow-left,UI,UI,bb10
Circle Arrow Right,bb-circle-arrow-right,UI,UI,bb10
Circle Arrow Up,bb-circle-arrow-up,UI,UI,bb10
Go Back,bb-circle-back,UI,UI,bb10
Go to Beginning,bb-circle-beginning,UI,UI,bb10
Dollar,bb-circle-dollar,Business,Business,bb10
Go to End,bb-circle-end,UI,UI,bb10
Euro,bb-circle-euro,Business,Business,bb10
Facebook,bb-circle-facebook-o,Social,Social,bb10
Flickr,bb-circle-flickr-o,Social,Social,bb10
Forward,bb-circle-forward,UI,UI,bb10
Google Plus,bb-circle-googleplus-o,Social,Social,bb10
Info,bb-circle-info,UI,UI,bb10
Info,bb-circle-info-1,UI,UI,bb10
LinkedIN,bb-circle-linkedin-o,Social,Social,bb10
Next,bb-circle-next,UI,UI,bb10
Open,bb-circle-open,UI,UI,bb10
Pause,bb-circle-pause,UI,UI,bb10
Pinterest,bb-circle-pinterest-o,Social,Social,bb10
Play,bb-circle-play,UI,UI,bb10
Play/Pause,bb-circle-play-pause,UI,UI,bb10
Pound,bb-circle-pound,Business,Business,bb10
Previous,bb-circle-previous,UI,UI,bb10
Question,bb-circle-question,UI,UI,bb10
Record,bb-circle-record,UI,UI,bb10
RSS,bb-circle-rss-o,Social,Social,bb10
Stop,bb-circle-stop,UI,UI,bb10
Twitter,bb-circle-twitter-bird-o,Social,Social,bb10
Twitter,bb-circle-twitter-o,Social,Social,bb10
Vimeo,bb-circle-vimeo-o,Social,Social,bb10
YouTube,bb-circle-youtube-o,Social,Social,bb10
Clipboard,bb-clipboard,Office,Office,bb10
Clock,bb-clock,Office,Office,bb10
Close,bb-close,UI,UI,bb10
Cloud,bb-cloud,Technology,Technology,bb10
Cloud Download,bb-cloud-download,Technology,Technology,bb10
Cloud Upload,bb-cloud-upload,Technology,Technology,bb10
Compass,bb-compass,UI,UI,bb10
Contacts,bb-contacts,UI,UI,bb10
BBM Contacts,bb-contacts-bbm,Social,Social,bb10
Contacts Plus,bb-contacts-plus,Social,Social,bb10
Credit Cards,bb-credit-cards,Business,Business,bb10
Desk Lamp,bb-desk-lamp,Office,Office,bb10
Document,bb-document,Office,Office,bb10
Eighth Notes,bb-eighth-notes,Entertainment,Entertainment,bb10
Full Screen,bb-envelope-open,UI,UI,bb10
Exit Full Screen,bb-exit-full-screen,UI,UI,bb10
Exit Full Screen,bb-exit-full-screen-1,UI,UI,bb10
Film Strip,bb-film-strip,Entertainment,Entertainment,bb10
Flag,bb-flag-1,Objects,Objects,bb10
Chequered flag,bb-flag-chequered-1,Sports,Sports,bb10
Chequered flag,bb-flag-chequered-2,Sports,Sports,bb10
Golf Flag,bb-flag-golf,Sports,Sports,bb10
Golf Green,bb-flag-golf-green,Sports,Sports,bb10
Folder Closed,bb-folder-closed,Office,Office,bb10
Folder Open,bb-folder-open,Office,Office,bb10
Font Size,bb-font-size,UI,UI,bb10
Footprints,bb-footprints,People,People,bb10
Fountain Pen,bb-fountain-pen,Office,Office,bb10
Full Screen,bb-full-screen,UI,UI,bb10
Glasses,bb-glasses-2,People,People,bb10
Glasses,bb-glasses-3,People,People,bb10
Gear,bb-gear,UI,UI,bb10
Glasses,bb-glasses-1,People,People,bb10
Group,bb-group,People,People,bb10
Hand Truck,bb-hand-truck,Office,Office,bb10
Headphones,bb-headphones,Entertainment,Entertainment,bb10
Heart,bb-heart,UI,UI,bb10
Home,bb-home,UI,UI,bb10
Home Plus,bb-home-plus,UI,UI,bb10
Key,bb-key,Objects,Objects,bb10
Utensils,bb-knife-fork,Food,Food,bb10
Place Setting,bb-knife-fork-plate,Food,Food,bb10
iPod,bb-layer-10,Entertainment,Entertainment,bb10
Web Link,bb-link1,UI,UI,bb10
Web Link,bb-link2,UI,UI,bb10
Locked,bb-locked,UI,UI,bb10
Magic 8 Ball,bb-magic8-ball,Objects,Objects,bb10
Magnifying Glass,bb-magnifying-glass,Objects,Objects,bb10
Mail,bb-mail,Office,Office,bb10
Man,bb-man-turtleneck,People,People,bb10
Man,bb-man-vneck,People,People,bb10
Map Marker,bb-map-marker,Objects,Objects,bb10
Megaphone,bb-megaphone,Objects,Objects,bb10
Main Menu,bb-main-menu,UI,UI,bb10
Menu Overflow,bb-menu-overflow,UI,UI,bb10
Retro Mic,bb-mic-retro,Entertainment,Entertainment,bb10
Mobile,bb-mobile,Technology,"Technology, Social",bb10
Monitor,bb-monitor,Technology,Technology,bb10
Moon & Stars,bb-moon-stars,Nature,Nature,bb10
Motorcycle,bb-motor-bike,Travel,Travel,bb10
No Entry,bb-no-entry,UI,UI,bb10
Notification,bb-notification,UI,UI,bb10
Paint Brush,bb-paint-brush,Entertainment,Entertainment,bb10
Paint Bucket,bb-paint-bucket,Entertainment,Entertainment,bb10
Paint Palette,bb-paint-pallett,Entertainment,Entertainment,bb10
Pawprint,bb-pawprint,Nature,Nature,bb10
Pencil,bb-pencil,Office,Office,bb10
Photos,bb-photos,Entertainment,Entertainment,bb10
Piano Keys,bb-piano-keys,Entertainment,Entertainment,bb10
Pie Chart,bb-pie-chart,Business,Business,bb10
Poaroid,bb-polaroid-tulip,Entertainment,Entertainment,bb10
Printer,bb-printer,Office,"Office, Technology",bb10
Radio,bb-radio,Entertainment,Entertainment,bb10
Refresh,bb-refresh,UI,UI,bb10
Reload,bb-reload,UI,UI,bb10
Reply,bb-reply,Social,Social,bb10
Ring Buoy,bb-ring-buoy,Objects,Objects,bb10
Roller Blade,bb-roller-blade,Objects,Objects,bb10
Sciissors,bb-scissors,Office,Office,bb10
Scooter,bb-scooter,Travel,Travel,bb10
Screen,bb-screen,Technology,Technology,bb10
Send,bb-send,UI,UI,bb10
Server,bb-server,Technology,Technology,bb10
Shamrock,bb-shamrock,Objects,Objects,bb10
Share,bb-share,UI,UI,bb10
Signal,bb-signal,Technology,Technology,bb10
Signs,bb-signs,Objects,Objects,bb10
RSS,bb-rss,Social,Social,bb10
BB Spark,bb-circle-spark,Social,Social,bb10
Back,bb-square-back,UI,UI,bb10
Beginning,bb-square-beginning,UI,UI,bb10
End,bb-square-end,UI,UI,bb10
Facebook,bb-square-facebook,Social,Social,bb10
Flickr,bb-square-flickr,Social,Social,bb10
Forward,bb-square-forward,UI,UI,bb10
Goolge Plus,bb-square-googleplus,Social,Social,bb10
Web Link,bb-square-link,UI,UI,bb10
LinkedIN,bb-square-linkedin,Social,Social,bb10
Next,bb-square-next,UI,UI,bb10
Open,bb-square-open,UI,UI,bb10
Pause,bb-square-pause,UI,UI,bb10
Pinterest,bb-square-pinterest,Social,Social,bb10
Play,bb-square-play,UI,UI,bb10
Previous,bb-square-previous,UI,UI,bb10
Record,bb-square-record,UI,UI,bb10
Repeat,bb-square-repeat,UI,UI,bb10
RSS,bb-square-rss,Social,Social,bb10
Shuffle,bb-square-shuffle,UI,UI,bb10
Stop,bb-square-stop,UI,UI,bb10
Twitter,bb-square-twitter,Social,Social,bb10
Twitter,bb-square-twitter-bird,Social,Social,bb10
Vimeo,bb-square-twitter-vimeo,Social,Social,bb10
YouTube,bb-square-youtube,Social,Social,bb10
Star,bb-star,Nature,Nature,bb10
Sticky,bb-sticky,Office,Office,bb10
Stop Sign,bb-stop-sign,Travel,Travel,bb10
Stop Watch,bb-stopwatch,Sports,Sports,bb10
Suitcase,bb-suitcase,Travel,Travel,bb10
Suitcase,bb-suitcase-wheels,Travel,Travel,bb10
Sun,bb-sun-1,Nature,Nature,bb10
Sun,bb-sun-2,Nature,Nature,bb10
Tag,bb-tag-1,Objects,Objects,bb10
Tag,bb-tag-2,Objects,Objects,bb10
Target,bb-target,UI,UI,bb10
Thumbtack,bb-thumb-tack,Office,Office,bb10
Thumbs Down,bb-thumbs-down,Social,Social,bb10
Thumbs Up,bb-thumbs-up,Social,Social,bb10
Ticket,bb-ticket,Entertainment,Entertainment,bb10
Trash,bb-trash,Objects,Objects,bb10
Umbrella,bb-umbrella,Objects,Objects,bb10
Unlocked,bb-unlocked,UI,UI,bb10
Update,bb-update,UI,UI,bb10
Voicemail,bb-voicemail,Social,Social,bb10
Volume High,bb-vol-high,Entertainment,Entertainment,bb10
Volume Low,bb-vol-low,Entertainment,Entertainment,bb10
Volume Medium,bb-vol-med,Entertainment,Entertainment,bb10
Mute,bb-vol-mute,Entertainment,Entertainment,bb10
Warning,bb-warning,UI,UI,bb10
Wifi,bb-wifi,Technology,Technology,bb10
Woman,bb-woman-turtleneck,People,People,bb10
Woman,bb-woman-vneck,People,People,bb10
Zoom In,bb-zoom-in,UI,UI,bb10
Zoom Out,bb-zoom-out,UI,UI,bb10